,Frequency,FrequencyCode,Indicator,IndicatorCategory,IndicatorCategoryCode,IndicatorCode,PartnerEconomy,PartnerEconomyCode,Period,PeriodCode,ProductOrSector,ProductOrSectorClassification,ProductOrSectorClassificationCode,ProductOrSectorCode,ReportingEconomy,ReportingEconomyCode,Unit,UnitCode,Value,Year
82,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Morocco,504,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,2744274.0,2016
83,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Oman,512,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,19536.0,2016
84,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Netherlands,528,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,90078772.0,2016
85,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,New Zealand,554,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,5517.0,2016
86,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Nigeria,566,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,373.0,2016
87,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Norway,578,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,131563.0,2016
88,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Pakistan,586,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,2614.0,2016
89,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Panama,591,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,6671.0,2016
90,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Philippines,608,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,2678062.0,2016
91,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Poland,616,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,12659363.0,2016
