,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
46,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-11,2014-11-01,9.631712,9.631712,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
47,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-12,2014-12-01,10.814706,10.814706,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
48,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-01,2015-01-01,0.294867,0.294867,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
49,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-02,2015-02-01,0.26165,0.26165,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
50,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-03,2015-03-01,0.263204,0.263204,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
51,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-04,2015-04-01,0.262411,0.262411,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
52,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-05,2015-05-01,0.247892,0.247892,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
53,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-06,2015-06-01,0.255453,0.255453,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
54,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-07,2015-07-01,0.288089,0.288089,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
55,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-08,2015-08-01,0.237505,0.237505,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
