,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
83,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1984-09,1984-09-01,0.363636363636364,0.363636363636364,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
84,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1984-10,1984-10-01,0.936363636363637,0.936363636363637,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
85,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1984-11,1984-11-01,0.90909090909091,0.90909090909091,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
86,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1984-12,1984-12-01,1.31818181818182,1.31818181818182,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
87,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-01,1985-01-01,0.481818181818182,0.481818181818182,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
88,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-02,1985-02-01,1.0,1.0,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
89,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-03,1985-03-01,1.13636363636364,1.13636363636364,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
90,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-04,1985-04-01,10.8,10.8,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
91,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-05,1985-05-01,8.20909090909091,8.20909090909091,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
92,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-06,1985-06-01,0.90909090909091,0.90909090909091,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
93,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-07,1985-07-01,0.663636363636364,0.663636363636364,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
94,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-08,1985-08-01,0.672727272727273,0.672727272727273,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
95,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-09,1985-09-01,1.36363636363636,1.36363636363636,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
96,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-10,1985-10-01,1.31818181818182,1.31818181818182,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
97,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-11,1985-11-01,1.54545454545455,1.54545454545455,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
98,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1985-12,1985-12-01,6.90909090909091,6.90909090909091,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
99,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1986-01,1986-01-01,1.76363636363637,1.76363636363637,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
100,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1986-02,1986-02-01,7.9909090909091,7.9909090909091,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
101,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1986-03,1986-03-01,0.827272727272728,0.827272727272728,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
102,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1986-04,1986-04-01,2.44545454545455,2.44545454545455,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
103,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1986-05,1986-05-01,0.727272727272728,0.727272727272728,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
104,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1986-06,1986-06-01,1.34545454545455,1.34545454545455,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
105,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1986-07,1986-07-01,2.45454545454546,2.45454545454546,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
