,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
39,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-04,2016-04-01,0.161527,0.161527,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
40,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-05,2016-05-01,0.216328,0.216328,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
41,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-06,2016-06-01,5.422728,5.422728,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
42,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-07,2016-07-01,2.392241,2.392241,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
43,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-08,2016-08-01,1.382408,1.382408,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
44,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-09,2016-09-01,4.198672,4.198672,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
45,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-10,2016-10-01,4.39926,4.39926,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
46,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-11,2016-11-01,5.010847,5.010847,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
47,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-12,2016-12-01,3.913213,3.913213,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
48,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-01,2017-01-01,2.976266,2.976266,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
49,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-02,2017-02-01,2.969949,2.969949,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
50,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-03,2017-03-01,2.002692,2.002692,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
51,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-04,2017-04-01,2.795132,2.795132,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
52,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-05,2017-05-01,4.799026,4.799026,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
